Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
JKB .,5 декабря 2024,"Постоянно заселяюсь у них когда приезжаю в Алматы. Приятное обстановка чистота вежливо встречают, удобное локация хороший вид в горы",5,Asaapart.kz,5,164
Desktop SNG,"4 декабря 2024, отредактирован","Взял на сутки
Чисто
Кровать удобная
Туалет,Душ,WiFi,тапочки,шампунь,гель для душа,Телевизор с андроидом Ютуб,Netflix,все работает,электрочайник,микроволновка,холодильник,стиральная машина.
Ночью тихо,спал как младенец
Цена адекватная,советую
Прошло столько времени дополняю отзыв:
Вообщем там работал теплый пол,и я дополнительно открыл окно и закрыл шторами,от чего был свежий воздух в комнате и было тепло,от чего я спал как младеленец",5,Asaapart.kz,5,164
Лариса Цой,2 декабря 2024,"Чистый, уютный номер. Вежливые сотрудники!",5,Asaapart.kz,5,164
BG BG,1 декабря 2024,"По времени проживания-неделя.Чисто, тепло, компактно, тихо. Комфортная кровать, подушка, можно готовить, прекрасный вид из окна, рекомендую .",5,Asaapart.kz,5,164
Алдонгаров Нурсултан,"1 декабря 2024, отредактирован","Уже несколько раз останавливаюсь здесь, квартира чистая, уютная. Спасибо за сервис 👍",5,Asaapart.kz,5,164
Эльмира Заманхан,29 ноября 2024,"Жұмыс бойынша 1 апта тұрақтадым.
Барлық қажеттіліктер қаралған. Бөлмелер кең, таза, әдемі. Қалаға көрініс керемет ашылады. Бағасы өте тиімді. Администратор Эльвира әпкеге көп рақмет ❤️❤️❤️",5,Asaapart.kz,5,164
Murat Baimussayev,"25 ноября 2024, отредактирован","Прекрасное , чистое , спокойное , красивое жк",5,Asaapart.kz,5,164
Алтынбек Алибеков,25 ноября 2024,"Был в 2х корпусах ЖК Ламия, один лучше другого, нам с супругой все очень понравилось, если будем в Алмате то только к ним, все чисто, свежо, администратор профессионал своего дела, вежлива и приветлива. Спасибо",5,Asaapart.kz,5,164
Kanat Kaniev,"18 ноября 2024, отредактирован","Все понравилось, классный сервис👍",5,Asaapart.kz,5,164
Beks M,12 ноября 2024,"Очень хороший администратор, всегда готова помочь, все быстро и без каких либо проблем. Квартира очень чистая, просторная, вид очень красивый",5,Asaapart.kz,5,164
Katya Kotori,10 ноября 2024,"очень хорошее место! администратор прекрасная женщина, всегда на связи и готова прийти на помощь) квартира очень чистая, вид из окна потрясающий! очень рекомендую!!!",5,Asaapart.kz,5,164
Azamat Dagirov,9 ноября 2024,"Просторная и уютная квартира, отличное расположение в самом центре города. Чистота на высоте, чувствуется забота о гостях. Вид из окна на весь город. Администратор Эльвира – очень отзывчивая, всегда на связи.",5,Asaapart.kz,5,164
Хусеин Ханзиян,8 ноября 2024,"Очень уютная, чистая квартира с красивыми видом на горы, хороший сервис. Были два раза, очень понравилось",5,Asaapart.kz,5,164
Не указано,8 октября 2020,"Отличный отель, если вы без транспорта, то это самое удобное расположение. Рядом автобусные остановки. Рядом столовая, где можно недорого покушать. И цены на номера приятно удивляют. Персонал приветливый и отзывчивый.",5,Аврора,4.5,494
чел- во,28 апреля 2025,Отель класый темболее нашел сахар плд краватью там было написано МЕФ класная фирма сахара в чай всех семье добавил,5,Аврора,4.5,494
Ибадулла Махамбет,20 апреля 2025,👍👍👍,5,Аврора,4.5,494
Aika Aisaeva,8 апреля 2025,Если вы хотите отдохнуть в чистоте и покое.то вам сюда.Рекомендую данную гостиницу. Чистые непрокуренные номера . Вежливый и внимательный персонал.,5,Аврора,4.5,494
Зарина Умарова,16 марта 2025,"Всем доброго времени суток я остановилось у вас в 34 номере мне очень понравилось у вас чистота уютно в ресепшене девушки отзывчивые молодцы желаю удачи успехов и огромные спасибо горничной за чистоту в вашей гостинице низкий поклон всем
Желаю удачи успехов благополучия и обязательно когда буду в Алмате остановлюсь в вашей гостинице
С Астаны Зарина 🥰🥰🥰🥰🥰🥰🙌🙌🙌🙌🙌🙌🙌🫶🫶🫶🫶🫶🫶🫶🌺🌺🌺🌺🌺🌺",5,Аврора,4.5,494
Ванесса Майоен,16 марта 2025,"Самая лучшая гостиница в Алмате . На протяжении 3 лет что её посещаю . Улучшается с каждым днем . Обслуживание высший уровень . Чистота высшего качество . Вежливость сотрудников . А какие сотрудники красивые 🥰🥰🥰🥰🥰🥰 единственная гостиница в которой даже сотрудников не впускают в номера , чтобы не тревожить клиентов . Советую всем . Очень спокойно и комфортно в ней отдыхать . Желаю Авроре процветания и побольше довольных гостей . Вы лучшие",5,Аврора,4.5,494
Артём Горелкин,25 февраля 2025,"Все было отлично, очень понравилось, чисто, светло, уютно",5,Аврора,4.5,494
bayuN -,24 февраля 2025,"Обслуживание на высоте! Забыл важную вещь в номере, отправили курьер-доставкой. Большое спасибо девушке на ресепшене",5,Аврора,4.5,494
Puma Borissov,23 февраля 2025,"Оставался в этой гостинице на пару ночей, получил очень комфортную комнату и приятное общение с управляющим , очень комфортные условия проживания и приятный сервис , советую всем!",5,Аврора,4.5,494
Дамир Исатаев,22 февраля 2025,Жақсы,5,Аврора,4.5,494
your old friend,17 февраля 2025,"Были в гостинице. Хорошая , всё вполне чисто, удобно. Немного душновато, но ничего. Приветливая девушка на ресепшене, соседей почти не слышно было, мы сами болтали, так что нам никто не мешал хпхаха. Заплутали правда немного внутри, но атмосферно",5,Аврора,4.5,494
Анува ✨,"16 февраля 2025, отредактирован","Отличный отель, проживала там несколько дней, все понравилось! Сервис отличный, уютная и комфортная атмосфера, комнаты чистые.",5,Аврора,4.5,494
Бауржан,"4 февраля 2025, отредактирован",Отлично место для отдыха,5,Аврора,4.5,494
Мария Гежа,17 января 2025,"Вежливый персонал, чистые номера и выгодные цены!",5,Аврора,4.5,494
Бекмурат Мырзабеков,11 января 2025,"Өте нашар лас екен, тар бөлме еще түнімен ұйқы жоқ, соседный бөлмедегі әңгіме шум бәрі естіледі",1,Аврора,4.5,494
Mukhtar Toktarov,"10 января 2025, отредактирован",Вежливый персонал,4,Аврора,4.5,494
Dj JukSound,"10 января 2025, отредактирован","Девчата молодцы , и цены норм. Я постоянник",5,Аврора,4.5,494
Sergey Borisov,1 января 2025,"Спасибо. Все понравилось, уют, чистота, просто все на высшем уровне. За свою цену действительно адекватный и достойный вариант. Спасибо также персоналу за дружелюбное обслуживание",5,Аврора,4.5,494
D B,"18 декабря 2024, отредактирован",😀👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,Аврора,4.5,494
Бек,"14 декабря 2024, отредактирован",Выгодный цена!,5,Аврора,4.5,494
Абильдаева Жанар,"30 ноября 2024, отредактирован",Болады норма,4,Аврора,4.5,494
. .,27 ноября 2024,"Классно отдохнули, дорого, но того стоит!",5,Аврора,4.5,494
Arthur Dembaev,27 ноября 2024,"Цены отличные, сервис на высоте. Брал номер на 10 дней. Все чисто и уютно. Уборка проводится своевременно и быстро. Спасибо вам большое👍",5,Аврора,4.5,494
Dmitriy Son,27 ноября 2024,"Приятный дизайн, очень крутое соотношение цены и сервиса!",5,Аврора,4.5,494
Anvar Mahramov,27 ноября 2024,"Отличный отель, самое главное это очень удобное расположение отеля, персонал очень вежливый в номерах очень чисто, а самое главное это цены очень доступные",5,Аврора,4.5,494
Александр Ковальчук,27 ноября 2024,"Хорошая гостиница, были в ней 3 дня, все как надо, везде чисто и классно",5,Аврора,4.5,494
Aidar Aubakirov,27 ноября 2024,"Очень классная гостиница!
приехал ночью из Кокшетау остановился в Авроре.
все супер!",5,Аврора,4.5,494
Игорь Лукьянов,25 ноября 2024,"Я останавливался в гостинице Аврора в Алматы на несколько дней и остался очень доволен своим выбором. Номер был просторным и чистым, с удобной кроватью и всеми необходимыми удобствами. Персонал был очень приветливым и всегда готов помочь. Завтраки были вкусными и разнообразными, что приятно удивило. Расположение гостиницы также оказалось очень удобным — рядом есть автобусные остановки и кафе. В следующий раз, когда буду в Алматы, обязательно остановлюсь здесь снова.",5,Аврора,4.5,494
Мария Иванова,"23 ноября 2024, отредактирован","Самая отвратительная гостиница в которой я была, а поверьте, я очень много путешествую и видала разное, в Кз была пересадка и пришлось остановиться там, где подешевле, хотя 3900 рублей за ночь в таком убогом месте- это недешево. Что самое ту мач: номер стандарт с балконом, да, балкон есть, но упирается в стену 😀 по- факту темница, 2 полотенца на двоих, которые выглядят так, как будто их разодрали собаки, вентиляция никакая, душно, воняет сыростью. Слышимость такая, что просто жесть. Пол ночи слушали как соседи занимаются соитием, теперь понятно для какого контингента эта «гостиница», постельное самое дешевое синтетическое, из мыльных принадлежностей: мыло 2 малюююсеньких куска и 2 пакетика сааамых дешевых отельных шампуней. Чая, кофе естественно нет и быть не может. Как было в предыдущем отзыве: я молилась, чтобы день нахождения здесь скорей закончился",1,Аврора,4.5,494
Елена Сергеевна Родионова,"6 ноября 2024, отредактирован",Отвратительная гостиница. Грязно сыро вонь стоит. Постельное белье в волосах. Вентиляции нет от слова совсем. Никому не советую.,1,Аврора,4.5,494
Владимир,24 октября 2024,Отличный номер и отдых тихо спокойно уютно и удобно,5,Аврора,4.5,494
Наиль Галимбаев,20 октября 2024,"Хороший персонал , очень уютное место. Сколько раз здесь останавливался , советую всем. Цена = качество! Хочу ещё раз отметить приветливый и дружелюбный персонал",5,Аврора,4.5,494
Ayaulim Zhusip,20 октября 2024,"Прекрасная гостиница, хорошо провели время, номера были чистые и уютные😻, персоналу отдельное спасибо очень вежливые ❤️",5,Аврора,4.5,494
Моля И,28 сентября 2024,"сняла на 1 ночь и
молилась, чтобы время пролетело быстрее. 👎🏻👎🏻👎🏻",1,Аврора,4.5,494
Фаррух Якубов,24 сентября 2024,Спасибо! Только в экономах наверное только такое- слышимость сильная и нет вентиляции воздуха,5,Аврора,4.5,494
Alexander Yevsin,14 сентября 2024,Спокойные тихие номера и все рядом,5,Аврора,4.5,494
Бекзат Берик,3 сентября 2024,Классные и чистые номер🔥,5,Аврора,4.5,494
Максим Джумадилев,1 сентября 2024,"Понравилось, супер обслуживание.",5,Аврора,4.5,494
Иван Фишер,28 августа 2024,Гостиница хорошая! Аккуратный и чистый номер. Вежливый персонал можно придти и хорошо провести свое время,5,Аврора,4.5,494
. .,28 августа 2024,"Всем здравствуйте все понравилось.
Спасибо девушке на ресепшене вызвала такси.
Еще приеду
27 номер понравился
9000 за сутки отдавал",5,Аврора,4.5,494
Diana Kucherova,27 августа 2024,"Не дослушивают до конца , разговаривают в грубой форме , при этом бросая трубки!
Ужаснее сервиса я не слышала!!!",1,Аврора,4.5,494
Владислав Владислав,23 августа 2024,"Каждый раз прилетаю в Алмату выбераю данный отель. Очень приятно возращаться вновь. Все как обычно , все классно",5,Аврора,4.5,494
🥰💗 🫶🏼,"18 августа 2024, отредактирован","Останавливаемся часто,нам всё нравится,чистые,ухоженные номера.",5,Аврора,4.5,494
Asel Asel,14 августа 2024,Очень понравилось. И цена приемлемая и персонал. Всегда рады принять и предоставят номер. Спасибо вам,5,Аврора,4.5,494
Константин,4 августа 2024,"Что могу сказать гостиница хорошая! Номера уютные. Были в 36 номере чистое белое постельное бельё, телевизор, вентилятор. Спасибо большое персоналу жили несколько дней после первых суток нам сделали уборку девочки просто молодцы",5,Аврора,4.5,494
Mov Avess,4 августа 2024,Удобное местоположение,5,Аврора,4.5,494
Анастасия Андреева,31 июля 2024,"Гостиница чистая, уютная, персонал приветливый. Очень понравилось. магазин, остановка, базар, столовая , банк всё рядом. Фен и чайник дают.",5,Аврора,4.5,494
Ирина Гурская,27 июля 2024,"Здравствуйте!
Я отдыхала в гостинице Аврора,в течении недели!
Чисто и опрятно в номере,приятный и вежливый персонал,всегда на позитиве администраторы.Желаю удачи и процветания! Ирина",5,Аврора,4.5,494
Шахида Исмаилова,27 июля 2024,Чиста уютно все нравится 👍,5,Аврора,4.5,494
Аида Даурен,"18 июля 2024, отредактирован",Очень вежливый персонал чисто уютненько советую,5,Аврора,4.5,494
Mera `,24 апреля 2025,неплохой отель,5,Lamiya Aparts,3.6,344
Медет Асанов,"17 апреля 2025, отредактирован","Очень слабый отель, в номере полотенце, шторы и постельное белье в пятнах, дырках и старое, в первый и в последний раз тут остановились.
Тут даже 3 звезды, а пишут что 4🥲",1,Lamiya Aparts,3.6,344
Марина Пасхалиди,9 апреля 2025,"Очень отвратное место, взяли Делюкс прокуренный номер, мебель тоже хочет, чтобы ее заменили... Вытяжка над кроватью всю ночь шумела, первый и Дай Бог последний раз сюда!",1,Lamiya Aparts,3.6,344
Евгения Тен,6 апреля 2025,"Останавливалась в отеле во время деловой поездки.Расположение отеля очень удобное- практически в центре города. Супермаркеты и кафе в шаговой доступности Номер был просторный,чистый. Вежливый и приветливый персонал. С удовольствием остановлюсь здесь в следующий раз.",5,Lamiya Aparts,3.6,344
Shuni Charles,5 апреля 2025,"Wonderful hotel, I was pleasantly surprised by the level of service and rooms. Professionals and helpful staff made my stay as pleasant as possible. The convenient location of the hotel allows easy access to all the attractions of the city. I recommend this hotel for leisure and business trips.",5,Lamiya Aparts,3.6,344
Руслан Корчагин,5 апреля 2025,"Отличный отель с уютной атмосферой. Персонал вежливый, помогли выбрать тур для просмотра местных достопримечательностей . Номер был чистый, довольно просторный. Всё необходимое рядом. вернёмся снова",5,Lamiya Aparts,3.6,344
lex Q,3 апреля 2025,"Проживал неделю , спасибо за дополнительную скидку , все чисто , постельное белье новое , уборка раз в 3 дня.",5,Lamiya Aparts,3.6,344
Misha .,3 апреля 2025,"I stayed in this hotel yesterday. Excellent hotel, we were given a room on the top floor, great view",5,Lamiya Aparts,3.6,344
Alexandr Voronin,"31 марта 2025, отредактирован",Тяжело найти вход! Номер обычный! Ничего нет!,3,Lamiya Aparts,3.6,344
Костя,12 марта 2025,"С 1 по 3 марта останавливался тут. Всё понравилось. Парни на ресепшене молодцы. В номерах чисто, уютно. Буду ещё останавливаться, рекомендую.",5,Lamiya Aparts,3.6,344
kural turalda,9 марта 2025,"Комфортное место, НО во-первых не до конца убранный номер, были волосы под матрасом и разводы в сан узле, + тонкие стены, а так в целом пойдет",3,Lamiya Aparts,3.6,344
Галымжан Айткулов,4 марта 2025,5 +,5,Lamiya Aparts,3.6,344
Yerlan Dukembaev,15 февраля 2025,"Начал списываться по поводу раннего заезда в связи с коммандировкой. Получил ответ что нужно перевести 18 000 тенге на некий номер перевести эту сумму и отправить чек в чат, даже не уточнили дату заезда. Время диалога 15.02.25 в 22:50",1,Lamiya Aparts,3.6,344
. .,"15 февраля 2025, отредактирован",👍👍👍👍👍👍👍👍👍👍👍👍👍👍,4,Lamiya Aparts,3.6,344
Анатолий Остапенко,"15 февраля 2025, отредактирован","Спасибо все понравилось , прилетели с России , сделали нам быструю регистрацию.
Рекомендую",4,Lamiya Aparts,3.6,344
Думан К,"15 февраля 2025, отредактирован","Для меня забронировала компания , регистрация прошла быстро , подготовили все документы по запросу .
По номеру :
Номер свежий с хорошим запахом , матрасы у них есть цельные и раздельные, как выяснилось это можно уточнить на заезде при выдаче ключа. Сразу этим воспользовался т.к. приехал один.
В номере было тихо соседи не шумные . Один раз позвонили с ресепшн и узнали нужно ли заменить полотенце.
По питанию ресторан сейчас не работает.
Внизу можно покушать в ""Навате"" 24/7
Так же есть кафе неделька тоже не плохо.

По расположению.
Находится в самом центре города , это очень удобно и выгодно по сравнению с ближайшими отелями. Прайс в хилтоне в этом районе 110тыс.
Рядом есть где погулять а так же есть супермаркет на 1 этаже .
Кто едет в Алматы в качестве туризма , могу порекомендовать.
В шаговой доступности Трц , театр, парк , цирк и т.д.

Итог , могу смело рекомендовать в качестве временного проживания , цена качество соответствует. Но нужно понимать что это не отель а квартира оформленная под гостиничные апартаменты",4,Lamiya Aparts,3.6,344
Алибек Меирбеков,"15 февраля 2025, отредактирован","Осы отельде бәрі керемет. Бөлмеден тауларға тамаша көрініс шығып атыр. Номер таза, парковкасы тегін. Админстраторлар сыпайы, кез келгенде көмектеседы, аэропорта такси тапсырад. Міндетті түрде ұсынамын.",4,Lamiya Aparts,3.6,344
Сергей Фиронов,"13 февраля 2025, отредактирован","Большое спасибо за ранний заезд , все супер .",4,Lamiya Aparts,3.6,344
Kiss Weapon,13 февраля 2025,Спасибо за уют,4,Lamiya Aparts,3.6,344
shukhrat 🐯🐯🐯,"13 февраля 2025, отредактирован","чисто и уютно,отвечают сразу",5,Lamiya Aparts,3.6,344
Natan Koj,12 февраля 2025,Отличный отэль,5,Lamiya Aparts,3.6,344
Бакытжан Балтажан,"8 февраля 2025, отредактирован",Қонақ уй өте әдемі барлық условия бар!,5,Lamiya Aparts,3.6,344
Zarina Utegenova,"2 февраля 2025, отредактирован","Бронировала для мужа, он ездил туда в командировку. Заранее попросила счет-фактуру и спросила есть ли завтраки? Мне сказали, пусть на ресепшен попросит счет-фактуру, без проблем. И насчет завтраков - сказали платно на 1 этаже, в районе 3 тыс можно позавтракать. В итоге, счет-фактуру не дали, сказали такое не делают. Как моему мужу отчитываться перед бухгалтерии? Из зп вычтут. И завтраков даже платных никаких не было.",2,Lamiya Aparts,3.6,344
Rafael C4ik,24 января 2025,"Недавно прилетел из Атырау в Алматы и остановился в отеле и Могу с уверенностью сказать, что это было отличное решение! Уютные номера, чистота на высшем уровне, а атмосфера просто располагает к отдыху. Особую благодарность хочу выразить администраторам Александру и Михаилу. Они оказались невероятно вежливыми и профессиональными, помогли с заселением, дали рекомендации по городу и сделали всё, чтобы мое пребывание было комфортным. Их внимательное отношение действительно оставило приятные впечатления. Большое спасибо за гостеприимство, обязательно вернусь снова!”",5,Lamiya Aparts,3.6,344
Анна Решетникова,23 января 2025,"Спасибо, сервис очень хороший",5,Lamiya Aparts,3.6,344
Али Али,"19 января 2025, отредактирован","Хотел забронировать номер.
Позвонил, все объяснили, я просил отправить фото, написал им вацап, ответили не по теме, ждал долго ответа, на вопрос не отвечают, скинули фото вообще другого номера, по звонку говорили одно, скидывают другое, вы заинтересованы вобще?
Думаю дальше было бы хуже",1,Lamiya Aparts,3.6,344
Adilet Sovetzhan uulu,16 января 2025,"Не очень, не советую",1,Lamiya Aparts,3.6,344
Артур Степаньков,"15 января 2025, отредактирован","Должен отметить что этот отель заслуживает отличной оценки, все на высшем уровне. Доброжелательный персонал, администрация всегда поможет и подскажет если что то необходимо. В номерах всегда убрано и приятно пахнет. Номера большие и все выглядит цивильно. Очень рекомендую )))",5,Lamiya Aparts,3.6,344
Арина Бочарова,"14 января 2025, отредактирован","Очень уютные и большие номера. Справедливые цены. Администрация и персонал вежливые и милые. Всегда помогут и подскажут по любому вопросу. Сделали приятную скидку, спасибо",5,Lamiya Aparts,3.6,344
No Name,"14 января 2025, отредактирован","Приехали в командировку , спасибо Вам от Travel Group за размещение",5,Lamiya Aparts,3.6,344
Жаука Бакбергеновна,14 января 2025,"Выражаем благодарность персоналу гостиницы. Хочется отметить, что все очень доброжелательные и вежливые, поэтому создается атмосфера хорошего отдыха и отличного настроения. Мы уже дважды здесь побывали, надеемся приехать еще!Огромное Спасибо всем!",5,Lamiya Aparts,3.6,344
Артур Артур,"7 января 2025, отредактирован","Самый ужасный отель в котором останавливался.
Вонь в душевой. Звукоизоляции ноль. Недрюжелюбный персонал. Не поверил отзывам и решил проверить. Мерзкий номер",1,Lamiya Aparts,3.6,344
Максат Дилтан,"3 января 2025, отредактирован",Честный отзыв! В след раз не в коем случае не остановлюсь в этом гостинице! Полный отстой!,1,Lamiya Aparts,3.6,344
Аружан Кабылкешова,1 января 2025,"Отель хороший, но женщина которая стояла на ресепшене не умеет работать , общаться с клиентами
Позвонили ночью , она сказала можете приезжать , в итоге мы приехали , а она не рассчитала номера и количество гостей. В итоге она нас заселила в другой номер.
А на утро прямым текстом она нас послала в одно место
Ну это просто ужас, нет слов.",1,Lamiya Aparts,3.6,344
Unknown User,25 декабря 2024,"Настолько грязный отель, я просто не могу передать словами. Грязные полы, шторы, постель, все грязное. Везде волосы, постельное белье весь в катышках. Шумоизоляция 0. Прит*н, всё слышно👎🏼👎🏼👎🏼🤢🤢🤢🤮🤮🤮. Диван воняет мочой, потом. Не Ламия а Грязь отель. Отвратительный. Банные принадлежности старые, серые. Ванная весь в разводах. Холодильник 🤮🤮🤮🤢🤢🤢. Если не хотите получить травму, не ходите туда.",1,Lamiya Aparts,3.6,344
Алеся Нартова,"20 декабря 2024, отредактирован","Раньше всегда заселялись именно сюда. И все было отлично! Но в последний раз разочаровались( очень холодно, одеял нет, белье порвано… в следующий раз будем искать что-то другое",3,Lamiya Aparts,3.6,344
Нуралы Жаксылыков,19 декабря 2024,Хорршие аппартаменты.Прекрасный персонал!!!Приедим еще!!!,5,Lamiya Aparts,3.6,344
Zzzz Tttt,"18 декабря 2024, отредактирован","Удобная локация ,все что нужно вме рядом.Да и гостиница не дорогая ,всегда есть номера.Самое главное чисто и не шумно.В целом все устраивает.",5,Lamiya Aparts,3.6,344
Зарина Ашимова,12 декабря 2024,уютные апартаменты,5,Lamiya Aparts,3.6,344
Арай,2 декабря 2024,"Отличная гостиница, качество обслуживания на высшем уровне, очень вежливый администратор, номера чистые. В целом всем рекомендую!",4,Lamiya Aparts,3.6,344
Dipendra Kumar,30 ноября 2024,Mr Alex & Mr Michael are so courteous during our stay at Lamiya in Almaty. They helped us alot. Thank you so much or everything. It was a great stay.,5,Lamiya Aparts,3.6,344
Dinara Maya,"17 ноября 2024, отредактирован","Хорошая гостиница, чисто, клопов не наблюдали. Ночевали сутки. Центр города и рядом дорога, но отличная шумоизоляция и в номерах тихо.",5,Lamiya Aparts,3.6,344
Bake Khan,13 ноября 2024,"Very nice place and location very good, too many years i come and stay here",5,Lamiya Aparts,3.6,344
Руслан Асатуллин,"8 ноября 2024, отредактирован","Все плохо, начиная от цен, заканчивая сервисом.
Прежде чем заселяться, читайте отзывы.
Учитывайте опыт других людей.
Рассадник клопов и хозяев этой конторы, не сильно это беспокоит, они же здесь не ночуют сами.",1,Lamiya Aparts,3.6,344
Жана-Абай Кайратулы,8 ноября 2024,"Не полностью предоставленно информация и обманывает,хотел написать на, но 2гис просит без мата",1,Lamiya Aparts,3.6,344
Ualihan Sabit,4 ноября 2024,"Шикарный отель, персонал очень приятный и отзывчивый, номера чистые и комфортные! Советую всем кто желает хорошего отдыха в центре города. Отдельное спасибо менеджеру.",5,Lamiya Aparts,3.6,344
Тимур Ш.,"2 ноября 2024, отредактирован",Чистая и доступная гостиница ! В центре города и отзывчивым персоналом!,5,Lamiya Aparts,3.6,344
Sula Jetstream,31 октября 2024,"Хороший отель! Прекрасное обслуживание, уютные номера и хорошее местоположение. Рекомендую для семейного отдыха!",5,Lamiya Aparts,3.6,344
Arthur Morgan,31 октября 2024,Комфотно и уютно. Номера чистые и просторные. Рядом много кафе и ресторанов местной кухни. Обязательно приедем еще раз,5,Lamiya Aparts,3.6,344
Жанара Жанара,"30 октября 2024, отредактирован","Супер отель для семейного отдыха, отличный персонал, внимательный администратор Александр. За последние 1.5 года заезжаем только в этот отель",5,Lamiya Aparts,3.6,344
Apple User,сегодня,"Останавливалась в отел 4 раза... да ,пожалуй, и БУДУ останавливаться... Всегда приветливый персонал... Отдельное спасибо Администратору Надежда !!!отличное местоположение.. тихо, уютно.Отличная гостиница. Все чисто, сделано со вкусом. Приятный дизайн, новая мебель, белоснежные пушистые полотенца. Персонал вежливый и дружелюбный. К уборке нареканий не было. Была приятно удивлена бесплатным вай-фаем!",5,Royal Comfort,4.7,132
Нурлан Сарсенбаев,28 апреля 2025,Интернета нет не сможете даже тв посмотреть,1,Royal Comfort,4.7,132
Алмат Байтусан,"19 апреля 2025, отредактирован","Гостиница очень хорошая, все новое, в тихом местечки находится , персонал очень вежливый , постель чистая , в гостинице не курят , это большой плюс спасибо Вам за ваше гостеприимство.",5,Royal Comfort,4.7,132
Диас Сагындык,19 апреля 2025,"Отличная гостиница, очень чисто, не прокуренно , очень приветливый персонал , администратор Диана все хорошо объясняет , доброжелательная нам нравится останавливаться в этой гостинице, спасибо за всё.",5,Royal Comfort,4.7,132
Кира Ильина,19 апреля 2025,"Останавливались с супругом ,у него проходило обучение рядышком ,пришли спокойно поспали и ушли ,нет неприятных запахов ,нет сырости ,в номере все работают ,кондиционер телевизор все имеется ,телевидение имеет выход в интернет что не мало важно ,есть маленький мини бар ,как будем в Алмате заедем ещё😊Девочкам админам отдельное спасибо",5,Royal Comfort,4.7,132
🤫 ☝️,19 апреля 2025,"Уютненько и со вкусом ,веселый персонал 🫰🏼
Средние цены ,раз 5 возвращаемся обратно ,нас все устраивает",5,Royal Comfort,4.7,132
Олжас Кайратович,"19 апреля 2025, отредактирован","Часто останавливаемся в этом отеле .Чистенько уютно ,отзывчивый персонал ,нормальные цены",5,Royal Comfort,4.7,132
Справедливость Ради,19 апреля 2025,"Тихая хорошая гостиница ,удобный район ,останавливались на обучение ,приветливый персонал ,все объясняет и покажут если вам нужно будет куда то проехать ,вызовут такси ,помогут .Нам понравилось",5,Royal Comfort,4.7,132
Кайрат Калдаров,19 апреля 2025,"Гостиница гав..о, ресепшн спит, горячей воды нет, на вопрос не отвечают и посылают на 3 буквы, держитесь по дальше",1,Royal Comfort,4.7,132
Ruslan,"14 апреля 2025, отредактирован","Номера неплохие, но с бумагами могут быть проблемы, если вы оплачиваете наличкой, никаких фискальных чеков вам не дадут, что само по себе является нарушением закона. На вопрос предоставить номер бухгалтера, отвечают, что номера бухгалтера не дают, сами администраторши ничего следовательно не решают. От общения с клиентом, словно тебе делают одолжение и ты живешь бесплатно, разумеется надоедает. Вот такой вот сервис",1,Royal Comfort,4.7,132
Tomiris Sardar,4 апреля 2025,"Очень хороший отель. Не дорогой. Номера чистые, ремонт новый, душ напор хороший, вода горячая, полотенца чистые, большой телик, в общем все круто. Теперь в Алмате буду только тут останавливаться. Спасибо!",5,Royal Comfort,4.7,132
Игорь Ровнов,18 февраля 2025,"Останавливался несколько раз!классная не дорогая гостиница!очень вежливый и приветливый персонал,профессионалы своего дела!",5,Royal Comfort,4.7,132
Шаман Мистер,10 февраля 2025,Очень Крутая гостиница был не один раз администратор Диана прям профессионал своего дела номера чистые и не дорого всем рекомендую 🫶,5,Royal Comfort,4.7,132
Алиса Евдокимова,6 февраля 2025,"Отличная гостиница за такую сумму просто шик! Чисто и аккуратно. Вежливый персонал , чистая постель, не в первый раз там и не последний !",5,Royal Comfort,4.7,132
Нурик Zik,"20 января 2025, отредактирован","Гостиница классная ,чистая аккуратная,все имеется что нужно
Администрация топ
Буду возвращаться☺️",5,Royal Comfort,4.7,132
Даниил Бабушкин,13 января 2025,"Классный отель ,чистые номера ,администрация хорошая ,буду возвращаться ✌🏼",5,Royal Comfort,4.7,132
Anastasiya Artamonova,"6 декабря 2024, отредактирован","Спасибо за сервис и удобное расположение гостиницы, уютно, постельное белье белоснежное, приятно спать, в ванной большая раковина для ухода за кожей, ничего не разливается удобно умываться, все принадлежности личной гигиены есть, приятный персонал, а именно администратор Елена, доброжелательна, перед сном захотелось сладкого и минералки, в баре на ресепшене все было, не пришлось никуда идти, спасибо за работу, буду советовать вашу гостиницу знакомым 👍🏻",5,Royal Comfort,4.7,132
